deelvraag,bestand,bronpad,peildatum,scope,rijen,status,toelichting
DV1,01_dv1_corpus/DV1_resultatentabellen_20260605.csv,thesis/Analyse/DV1_resultatentabellen_20260605.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",30,public,"Compacte canonieke eindtabel voor DV1; bevat 171 fasen, 1.439 adviesrapporten, 1.374 extracties, 417 adviezen met kabinetsreactie en parlementair 2.170/3.332."
DV2,02_dv2_validatie/01_scope_noemers/adviesrapporten_public_sanitized.csv,thesis/Analyse/DV2_validatie_bronnen/01b_adviesvalidatie_171_frozen_20260605/df_docs.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",1374,public_sanitized,"Geschoonde adviesrapport-noemer; JSON, actorvelden en vrije tekst verwijderd."
DV2,02_dv2_validatie/02_adviesextractie_public_sanitized/aanbevelingen_labels_public_sanitized.csv,thesis/Analyse/DV2_validatie_bronnen/01b_adviesvalidatie_171_frozen_20260605/df_aanbevelingen.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",22286,public_sanitized,"Geschoonde aanbevelingenbestand; bronbeschrijving en box_ids verwijderd, labels en tellingen behouden."
DV2,02_dv2_validatie/02_adviesextractie_public_sanitized/probleemdefinities_labels_public_sanitized.csv,thesis/Analyse/DV2_validatie_bronnen/01b_adviesvalidatie_171_frozen_20260605/df_problemen.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",17927,public_sanitized,"Geschoonde probleemdefinitiesbestand; bronbeschrijving en box_ids verwijderd, labels behouden."
DV2,02_dv2_validatie/01_scope_noemers/kabinetsreactie_in_scope_documenten.csv,thesis/Analyse/DV2_validatie_bronnen/02b_kabinetsreactie_171_frozen_20260605/in_scope_documenten.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",419,public,Kabinetsreactie-validatiebasis: 419 documenten; element_count somt tot 13.165.
DV2,02_dv2_validatie/01_scope_noemers/kabinetsreactie_uitval_documenten.csv,thesis/Analyse/DV2_validatie_bronnen/02b_kabinetsreactie_171_frozen_20260605/uitval_documenten.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",2,public,Twee documenten buiten de 171-scope; verklaart de scopefilter.
DV2,02_dv2_validatie/03_accuratesse_validatie/adviesextractie_f1_ci.csv,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/adviesextractie_f1_ci.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",9,public,Bevroren F1-scores en intervallen voor adviesextractie.
DV2,02_dv2_validatie/03_accuratesse_validatie/classificatie_veld_accuratesse.csv,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/classificatie_veld_accuratesse.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",4,public,Bevroren classificatie-accuratesse voor documenttype en hoofdveld.
DV2,02_dv2_validatie/03_accuratesse_validatie/kabinetsreactie_golden_set.csv,thesis/Analyse/DV2_validatie_bronnen/06_kabinetsreactie_golden_set_20260604/golden_set.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",88,public,Handmatige/golden referentie voor kabinetsreactielabels.
DV2,02_dv2_validatie/03_accuratesse_validatie/kabinetsreactie_golden_vs_run.csv,thesis/Analyse/DV2_validatie_bronnen/06_kabinetsreactie_golden_set_20260604/golden_vs_run.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",88,public,Vergelijking golden set met AI-run.
DV2,02_dv2_validatie/04_stabiliteit_public/adviesextractie_test_hertest_stability_data.csv,thesis/Analyse/DV2_validatie_bronnen/09_adviesextractie_reliability_test_hertest/adviesextractie_test_hertest_stability_data.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",12,public,Adviesextractie-stabiliteit; origineel is puntkomma-CSV.
DV2,02_dv2_validatie/04_stabiliteit_public/field_severity_summary.csv,thesis/Analyse/DV2_validatie_bronnen/08_classificatie_metadata_reproduceerbaarheid_20260507/field_severity_summary.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",9,public,Geaggregeerde veldstabiliteit zonder ruwe runredeneringen.
DV2,02_dv2_validatie/05_traceerbaarheid/kabinetsreactie_trace_associatie.csv,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/kabinetsreactie_trace_associatie.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",2,public,Traceerbaarheid en type-label-associatie voor kabinetsreactieanalyse.
DV2,02_dv2_validatie/06_college_effect/college_effect_groen_oranje.csv,thesis/Analyse/data/college_effect_groen_oranje.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",139,public,Per-college groen/oranje/rood-meetkwaliteitssamenvatting.
DV2,02_dv2_validatie/04_stabiliteit_public/confidence_consistency.csv,thesis/Analyse/DV2_validatie_bronnen/08_classificatie_metadata_reproduceerbaarheid_20260507/confidence_consistency.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",200,public,Publieke numerieke confidence-stabiliteit; geen runredenering.
DV2,02_dv2_validatie/04_stabiliteit_public/document_status_matrix.csv,thesis/Analyse/DV2_validatie_bronnen/08_classificatie_metadata_reproduceerbaarheid_20260507/document_status_matrix.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",100,public,Documentstatusmatrix voor stabiliteit; geen vrije bewijsvelden.
DV3,03_dv3_verwerking/collegetype_verdeling_6.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/collegetype_verdeling_6.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",3,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
DV3,03_dv3_verwerking/cramers_statistiek.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/cramers_statistiek.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",2,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
DV3,03_dv3_verwerking/dimensie_opvolging.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/dimensie_opvolging.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",14,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
DV3,03_dv3_verwerking/dimensie_positie.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/dimensie_positie.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",16,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
DV3,03_dv3_verwerking/gevoeligheid.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/gevoeligheid.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",6,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
DV3,03_dv3_verwerking/meetkwaliteit.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/meetkwaliteit.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",3,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
DV3,03_dv3_verwerking/metadata_inscope.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/metadata_inscope.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",5,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
DV3,03_dv3_verwerking/verdeling_11.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/verdeling_11.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",11,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
DV3,03_dv3_verwerking/verdeling_6.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/verdeling_6.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",6,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
DV3,03_dv3_verwerking/verdeling_per_type_11.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/verdeling_per_type_11.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",22,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
DV3,03_dv3_verwerking/verdeling_per_type_6.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/verdeling_per_type_6.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",12,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
