deelvraag,bronpad,key,value,peildatum,toelichting
DV2,thesis/Analyse/DV2_validatie_bronnen/01b_adviesvalidatie_171_frozen_20260605/_manifest.json,peildatum,2026-06-05,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/01b_adviesvalidatie_171_frozen_20260605/_manifest.json,scope,corpus_keuzes,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/01b_adviesvalidatie_171_frozen_20260605/_manifest.json,beschrijving,"171 Kaderwet-colleges (permanent/tijdelijk/eenmalig) via pipeline.v_usable_advies_* + corpus.adviesdocumenten + register.adviescollege_fasen (CTE, Kaderwet=TRUE + instellingsbesluit + tijd_adviescollege filter), exclude ACOI/CBPD; Nederlands alleen.",2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/01b_adviesvalidatie_171_frozen_20260605/_manifest.json,rij_aantallen.df_docs,1374,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/01b_adviesvalidatie_171_frozen_20260605/_manifest.json,rij_aantallen.df_aanbevelingen,22286,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/01b_adviesvalidatie_171_frozen_20260605/_manifest.json,rij_aantallen.df_problemen,17927,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/02b_kabinetsreactie_171_frozen_20260605/_manifest.json,peildatum,2026-06-05,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/02b_kabinetsreactie_171_frozen_20260605/_manifest.json,scope,corpus_keuzes/171,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,peildatum,2026-06-05,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,scope,corpus_keuzes/171,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,beschrijving,"Niveau-2 DV2-cijfers: live/notebook-berekend, hier read-only bevroren met dezelfde functies.",2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,classificatie_accuratesse.canonical.classification_matches,80,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,classificatie_accuratesse.canonical.classification_coverage,101,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,classificatie_accuratesse.canonical.total_golden_cases,101,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,classificatie_accuratesse.canonical.classification_match_rate,0.7920792079207921,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,classificatie_accuratesse.canonical.metadata_coverage,61,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,classificatie_accuratesse.raw.classification_matches,80,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,classificatie_accuratesse.raw.classification_coverage,101,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,classificatie_accuratesse.raw.total_golden_cases,101,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,classificatie_accuratesse.raw.classification_match_rate,0.7920792079207921,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,classificatie_accuratesse.raw.metadata_coverage,63,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,classificatie_alpha.classificatie_kritiek.pa,0.8915,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,classificatie_alpha.classificatie_kritiek.alpha,0.935,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,classificatie_alpha.classificatie_kritiek.n_docs,100,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,classificatie_alpha.classificatie_alle.pa,0.7619,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,classificatie_alpha.classificatie_alle.alpha,0.8173,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,classificatie_alpha.classificatie_alle.n_docs,100,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,classificatie_alpha.metadata.pa,0.9453,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,classificatie_alpha.metadata.alpha,0.9592,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,classificatie_alpha.metadata.n_docs,100,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,kabinetsreactie_niveau2.0.scope,171_in_scope,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,kabinetsreactie_niveau2.0.n_docs,419,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,kabinetsreactie_niveau2.0.n_items,13165,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,kabinetsreactie_niveau2.0.trace_3plus,10580,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,kabinetsreactie_niveau2.0.trace_3plus_pct,80.4,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,kabinetsreactie_niveau2.0.cramers_v_type_label,0.408,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,kabinetsreactie_niveau2.0.chi2_type_label,2191.3,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,kabinetsreactie_niveau2.0.p_value_type_label,0.0,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,kabinetsreactie_niveau2.1.scope,volledige_batch,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,kabinetsreactie_niveau2.1.n_docs,421,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,kabinetsreactie_niveau2.1.n_items,13253,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,kabinetsreactie_niveau2.1.trace_3plus,10637,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,kabinetsreactie_niveau2.1.trace_3plus_pct,80.3,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,kabinetsreactie_niveau2.1.cramers_v_type_label,0.406,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,kabinetsreactie_niveau2.1.chi2_type_label,2185.1,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV2,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/_manifest.json,kabinetsreactie_niveau2.1.p_value_type_label,0.0,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,peildatum,2026-06-05,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,scope,corpus_keuzes/171,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,beschrijving,"171 Kaderwet-fasen via de scope_fasen-CTE (Kaderwet=TRUE + instellingsbesluit + tijd_adviescollege-type, excl. AP/CBP), Nederlands alleen, run-bewust op de post-fix verwerkingsronde. Identiek aan DV1/DV2 corpus_keuzes-scope. NB: de noemer is voller dan DV2's bevroren validatie-batch (419 docs / 13.165 elementen) omdat DV3 de actuele database leest, inclusief 171-scope-colleges die na die batch zijn geanalyseerd.",2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,postfix_run_datum,2026-06-03,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,n_elementen,15368,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,n_reacties,482,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,n_adviezen,400,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,per_type.aanbeveling,8519,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,per_type.probleemdefinitie,6849,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,dekking.n_reacties,482,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,dekking.met_elementen,482,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,dekking.zonder_elementen,0,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,elementen_per_reactie.mediaan,31.0,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,elementen_per_reactie.q1,22.0,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,elementen_per_reactie.q3,41.0,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,elementen_per_reactie.min,5,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,elementen_per_reactie.max,81,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,elementen_per_advies.mediaan,32.0,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,elementen_per_advies.q1,23.0,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,elementen_per_advies.q3,44.25,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,cramers_v_11label,0.4212,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,cramers_v_6klasse,0.2634,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,cramers_v_11label_clustered.mediaan,0.4381,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,cramers_v_11label_clustered.p05,0.4052,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,cramers_v_11label_clustered.p95,0.5033,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,cramers_v_6klasse_clustered.mediaan,0.2857,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,cramers_v_6klasse_clustered.p05,0.2272,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,cramers_v_6klasse_clustered.p95,0.3387,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_cramers_v_6klasse,0.0905,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_cramers_v_6klasse_clustered.mediaan,0.1182,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_cramers_v_6klasse_clustered.p05,0.0738,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_cramers_v_6klasse_clustered.p95,0.1593,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_cramers_v_11label,0.1447,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.0.collegetype,vast,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.0.n_elementen,11604,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.0.n_reacties,377,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.0.n_adviezen,326,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.0.pct_substantieel,14.9,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.0.pct_retorisch,39.0,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.0.pct_ambigu,22.5,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.0.pct_niet_behandeld,15.4,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.0.pct_procedureel,4.0,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.0.pct_afgewezen,4.2,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.1.collegetype,eenmalig,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.1.n_elementen,3700,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.1.n_reacties,103,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.1.n_adviezen,73,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.1.pct_substantieel,22.4,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.1.pct_retorisch,29.6,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.1.pct_ambigu,22.6,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.1.pct_niet_behandeld,15.4,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.1.pct_procedureel,7.1,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.1.pct_afgewezen,2.9,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.2.collegetype,tijdelijk,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.2.n_elementen,64,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.2.n_reacties,2,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.2.n_adviezen,1,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.2.pct_substantieel,7.8,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.2.pct_retorisch,40.6,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.2.pct_ambigu,42.2,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.2.pct_niet_behandeld,9.4,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.2.pct_procedureel,0.0,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
DV3,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/_manifest.json,collegetype_tellingen.2.pct_afgewezen,0.0,2026-06-05,Waarde uit manifest om JSON-bron ook als CSV citeerbaar te maken.
