case_id,advies_id,document_id,adviescollege_id,element_count
2760__2739,2760,2739,29,31
8223__10950,8223,10950,135,32
7170__10948,7170,10948,31,30
6954__11125,6954,11125,10,33
5137__5042,5137,5042,32,33
6417__10957,6417,10957,30,45
8737__8806,8737,8806,133,39
9866__11116,9866,11116,15,22
9158__11120,9158,11120,15,41
6880__6810,6880,6810,30,24
8078__10945,8078,10945,21,23
2404__2384,2404,2384,24,19
10809__10929,10809,10929,55,43
8030__10969,8030,10969,21,35
10641__11117,10641,11117,139,19
9720__11023,9720,11023,15,39
2292__10932,2292,10932,24,33
5892__11113,5892,11113,14,25
7986__8342,7986,8342,21,10
10666__11115,10666,11115,139,29
6533__10953,6533,10953,30,30
3494__10944,3494,10944,23,25
10264__10961,10264,10961,139,30
6650__10941,6650,10941,30,37
3153__2993,3153,2993,211,23
7224__10947,7224,10947,31,38
2246__10931,2246,10931,24,20
2404__10935,2404,10935,24,19
9553__9480,9553,9480,15,37
2873__10966,2873,10966,29,18
2159__10930,2159,10930,24,24
4907__10976,4907,10976,32,16
9485__9472,9485,9472,15,21
1757__10993,1757,10993,18,31
9588__9561,9588,9561,15,44
10867__10973,10867,10973,87,52
4725__10990,4725,10990,32,10
5206__11052,5206,11052,32,27
10869__10936,10869,10936,51,32
8032__10939,8032,10939,21,34
10248__10970,10248,10970,139,45
8071__10940,8071,10940,21,34
9979__10981,9979,10981,34,43
1405__11028,1405,11028,13,11
10816__10988,10816,10988,71,32
6697__10980,6697,10980,30,24
4682__11004,4682,11004,32,18
1941__10979,1941,10979,18,26
6733__10968,6733,10968,30,42
6723__10967,6723,10967,30,39
8103__10997,8103,10997,133,31
7982__11007,7982,11007,21,41
10860__11005,10860,11005,42,42
6893__11024,6893,11024,30,10
10029__11008,10029,11008,34,32
6630__11002,6630,11002,30,37
248__10926,248,10926,11,34
8114__10994,8114,10994,133,38
8048__11012,8048,11012,21,35
6516__11010,6516,11010,30,22
7168__10987,7168,10987,31,63
3930__11016,3930,11016,23,24
7589__10989,7589,10989,31,45
6647__10986,6647,10986,30,30
10091__11001,10091,11001,34,27
1626__10998,1626,10998,18,49
10861__10974,10861,10974,82,32
5605__11029,5605,11029,32,21
4117__10955,4117,10955,23,80
6433__10999,6433,10999,30,26
9237__10978,9237,10978,15,33
1858__11037,1858,11037,18,51
9931__10991,9931,10991,34,33
7306__11021,7306,11021,31,35
2968__11027,2968,11027,211,44
2511__11022,2511,11022,24,46
7983__11036,7983,11036,21,15
8599__8652,8599,8652,131,19
6645__11020,6645,11020,30,41
10871__10951,10871,10951,86,66
6640__10952,6640,10952,30,49
1742__11046,1742,11046,18,28
1734__11035,1734,11035,18,47
9650__9542,9650,9542,15,25
18__10917,18,10917,12,9
9496__9476,9496,9476,15,13
3021__11041,3021,11041,211,27
8991__11042,8991,11042,131,23
2721__2695,2721,2695,29,22
1507__11025,1507,11025,18,15
1686__10965,1686,10965,18,46
6663__11011,6663,11011,30,24
6434__10996,6434,10996,30,30
7694__11043,7694,11043,31,29
2026__2016,2026,2016,18,10
3086__11038,3086,11038,211,24
1690__11055,1690,11055,18,30
3127__11044,3127,11044,211,31
1669__11056,1669,11056,18,55
1938__1917,1938,1917,18,7
1561__1542,1561,1542,18,32
1808__1788,1808,1788,18,22
6467__10992,6467,10992,30,32
3454__11030,3454,11030,23,30
10029__10014,10029,10014,34,32
1989__1980,1989,1980,18,47
8200__8982,8200,8982,133,26
2138__2128,2138,2128,24,24
1675__1529,1675,1529,18,49
220__10918,220,10918,11,34
1550__1527,1550,1527,18,25
1767__1764,1767,1764,18,39
1858__1838,1858,1838,18,51
10804__10928,10804,10928,124,48
10799__10927,10799,10927,123,52
4899__4876,4899,4876,32,5
2006__1985,2006,1985,18,62
2873__2825,2873,2825,29,18
1967__1932,1967,1932,18,55
2433__2417,2433,2417,24,26
2032__2000,2032,2000,18,39
2364__2329,2364,2329,24,22
2497__2472,2497,2472,24,13
1734__1724,1734,1724,18,47
1677__1657,1677,1657,18,30
2873__2849,2873,2849,29,18
1909__1894,1909,1894,18,58
3173__3171,3173,3171,211,24
2613__2597,2613,2597,29,38
1727__1465,1727,1465,18,43
2548__2529,2548,2529,24,31
8031__8423,8031,8423,21,10
2381__2357,2381,2357,24,31
2517__2510,2517,2510,24,31
2348__2332,2348,2332,24,15
2490__2478,2490,2478,24,22
2455__2442,2455,2442,24,42
5350__5129,5350,5129,32,11
2455__2441,2455,2441,24,42
5457__5428,5457,5428,32,12
5729__5696,5729,5696,32,9
6194__11050,6194,11050,33,36
3049__3050,3049,3050,211,12
2578__2552,2578,2552,24,38
2364__2328,2364,2328,24,22
2439__2430,2439,2430,24,24
5750__5730,5750,5730,32,23
2555__2538,2555,2538,24,31
10802__10920,10802,10920,66,43
2349__2336,2349,2336,24,29
2381__2360,2381,2360,24,31
2326__2305,2326,2305,24,28
2542__2531,2542,2531,24,20
8615__8665,8615,8665,131,13
8196__8600,8196,8600,131,15
3178__3179,3178,3179,211,41
2562__2543,2562,2543,24,42
9644__9610,9644,9610,15,22
8105__8678,8105,8678,131,31
8151__8685,8151,8685,133,23
9350__9313,9350,9313,15,18
8032__8332,8032,8332,21,34
1982__1793,1982,1793,18,28
6816__6786,6816,6786,30,33
6645__6609,6645,6609,30,41
6915__6898,6915,6898,30,26
7981__8288,7981,8288,21,32
9376__9355,9376,9355,129,21
8705__8760,8705,8760,133,42
1859__1839,1859,1839,18,18
2017__1996,2017,1996,18,21
1890__1879,1890,1879,18,21
1850__1830,1850,1830,18,24
1832__1809,1832,1809,18,24
1896__1876,1896,1876,18,32
8039__8512,8039,8512,21,19
1953__1923,1953,1923,18,23
1964__1944,1964,1944,18,22
1852__1818,1852,1818,18,36
1899__1874,1899,1874,18,29
1840__1823,1840,1823,18,37
1819__1799,1819,1799,18,35
1949__1929,1949,1929,18,41
1913__1900,1913,1900,18,27
8049__8443,8049,8443,21,28
1802__1769,1802,1769,18,42
1942__1895,1942,1895,18,38
1914__1901,1914,1901,18,48
1757__1749,1757,1749,18,31
8071__8528,8071,8528,21,34
1780__1762,1780,1762,18,49
1916__1892,1916,1892,18,31
1865__1862,1865,1862,18,18
1778__1759,1778,1759,18,51
1940__1928,1940,1928,18,33
2021__2002,2021,2002,18,46
1978__1937,1978,1937,18,42
1783__1763,1783,1763,18,28
8906__8950,8906,8950,131,40
1869__1855,1869,1855,18,63
8621__8654,8621,8654,133,52
1866__1853,1866,1853,18,48
1974__1946,1974,1946,18,35
8615__8667,8615,8667,131,13
8036__8432,8036,8432,21,22
2030__2012,2030,2012,18,30
2103__2071,2103,2071,24,38
2029__2014,2029,2014,18,37
2314__2286,2314,2286,24,37
8744__8778,8744,8778,133,44
2322__2254,2322,2254,24,25
2251__2205,2251,2205,24,15
2314__2290,2314,2290,24,37
1880__1863,1880,1863,18,29
1924__1902,1924,1902,18,39
10834__10835,10834,10835,52,12
2028__2018,2028,2018,18,22
1998__1954,1998,1954,18,26
2379__2356,2379,2356,24,23
2208__2158,2208,2158,24,19
8890__8928,8890,8928,212,20
2456__2435,2456,2435,24,12
8210__8612,8210,8612,212,35
9585__9531,9585,9531,15,24
8735__8793,8735,8793,131,20
2292__2275,2292,2275,24,33
9572__9498,9572,9498,129,44
8127__8750,8127,8750,133,40
10807__10808,10807,10808,58,22
2467__2452,2467,2452,24,19
8114__8746,8114,8746,133,38
10845__10846,10845,10846,62,51
9579__9538,9579,9538,15,38
2483__2461,2483,2461,24,45
8846__8915,8846,8915,131,44
10792__10793,10792,10793,74,32
8804__8816,8804,8816,131,22
2511__2487,2511,2487,24,46
3086__3081,3086,3081,211,24
2802__2792,2802,2792,29,18
8133__8931,8133,8931,131,20
2888__2820,2888,2820,29,24
2632__2629,2632,2629,29,20
2967__2952,2967,2952,211,24
3204__3200,3204,3200,211,11
8990__8998,8990,8998,131,16
3192__3187,3192,3187,211,22
3041__3033,3041,3033,211,25
2790__2759,2790,2759,29,17
8993__8989,8993,8989,131,32
3043__3040,3043,3040,211,15
10826__10827,10826,10827,119,17
2667__2638,2667,2638,29,14
3101__3103,3101,3103,211,15
2856__2806,2856,2806,29,36
8139__8939,8139,8939,131,35
8138__8970,8138,8970,133,19
8236__8987,8236,8987,131,40
2691__2663,2691,2663,29,37
2699__2668,2699,2668,29,41
3009__3005,3009,3005,211,22
10828__10829,10828,10829,56,53
8798__8863,8798,8863,131,49
3021__3013,3021,3013,211,27
2690__2657,2690,2657,29,40
10804__10805,10804,10805,124,48
8049__8447,8049,8447,21,28
2572__2567,2572,2567,24,31
3026__3023,3026,3023,211,42
8214__9000,8214,9000,131,38
8770__8831,8770,8831,131,46
2968__2961,2968,2961,211,44
3152__3151,3152,3151,211,30
2603__2587,2603,2587,29,25
10083__10035,10083,10035,34,42
10832__10833,10832,10833,61,21
3062__3057,3062,3057,211,19
8156__8949,8156,8949,21,26
8875__8923,8875,8923,131,61
5232__5231,5232,5231,32,7
5411__5352,5411,5352,32,10
4725__4660,4725,4660,32,10
5491__5402,5491,5402,32,8
5292__5269,5292,5269,32,9
5250__5176,5250,5176,32,10
10838__10839,10838,10839,118,48
3196__3193,3196,3193,211,8
5516__5467,5516,5467,32,9
5703__5678,5703,5678,32,9
10809__10810,10809,10810,55,43
4414__4404,4414,4404,16,17
4974__4768,4974,4768,32,31
1941__1882,1941,1882,18,26
5453__5404,5453,5404,32,14
4444__4433,4444,4433,16,14
4954__4803,4954,4803,32,15
10020__9991,10020,9991,34,16
5543__5535,5543,5535,32,14
5662__5594,5662,5594,32,13
4407__4403,4407,4403,16,25
9261__9229,9261,9229,15,23
5605__5447,5605,5447,32,21
6364__6342,6364,6342,33,17
6240__6153,6240,6153,33,35
3213__3209,3213,3209,211,29
4445__4437,4445,4437,16,37
2921__2846,2921,2846,211,39
2579__2566,2579,2566,24,33
6267__6215,6267,6215,33,45
6267__6211,6267,6211,33,45
9345__9322,9345,9322,15,47
4907__4806,4907,4806,32,16
5944__5927,5944,5927,14,55
3046__3039,3046,3039,211,41
9237__9208,9237,9208,15,33
6893__6874,6893,6874,30,10
6210__6172,6210,6172,33,61
8972__8996,8972,8996,131,31
2921__2848,2921,2848,211,39
6928__6871,6928,6871,30,16
6867__6850,6867,6850,30,18
10822__10823,10822,10823,65,65
6828__6760,6828,6760,30,29
9379__9340,9379,9340,15,18
9456__9412,9456,9412,15,38
6892__6846,6892,6846,30,40
6700__6691,6700,6691,30,27
6533__6489,6533,6489,30,30
6879__6843,6879,6843,30,20
7864__7972,7864,7972,21,57
7978__8237,7978,8237,21,22
6954__6949,6954,6949,10,33
6697__6681,6697,6681,30,24
7866__7994,7866,7994,21,32
10869__10870,10869,10870,51,32
6855__6839,6855,6839,30,33
6526__6519,6526,6519,30,28
7849__7956,7849,7956,21,29
6483__6458,6483,6458,30,15
6854__6840,6854,6840,30,51
8037__8319,8037,8319,21,16
10817__10818,10817,10818,77,29
8001__8303,8001,8303,21,18
8037__8369,8037,8369,21,16
6210__6174,6210,6174,33,61
9521__9474,9521,9474,15,40
8013__8281,8013,8281,21,21
8025__8375,8025,8375,21,20
8004__8250,8004,8250,21,28
8000__8283,8000,8283,21,27
8020__8373,8020,8373,21,42
10802__10803,10802,10803,66,43
8018__8381,8018,8381,21,24
1499__1480,1499,1480,18,34
6723__6704,6723,6704,30,39
7846__7939,7846,7939,21,42
7848__7933,7848,7933,21,38
6733__6696,6733,6696,30,42
10863__10864,10863,10864,35,33
7987__8300,7987,8300,21,25
1560__1554,1560,1554,18,20
1481__1462,1481,1462,18,51
10816__10815,10816,10815,71,32
1571__1514,1571,1514,18,25
1511__1496,1511,1496,18,19
1469__1419,1469,1419,18,47
7982__8241,7982,8241,21,41
10861__10862,10861,10862,82,32
10867__10868,10867,10868,87,52
10848__10849,10848,10849,117,12
1574__1547,1574,1547,18,32
6630__6578,6630,6578,30,37
1521__1510,1521,1510,18,44
10865__10866,10865,10866,40,31
1571__1579,1571,1579,18,25
10856__10857,10856,10857,126,51
9127__9098,9127,9098,15,32
1571__1575,1571,1575,18,25
1507__1488,1507,1488,18,15
8028__8416,8028,8416,21,31
1630__1621,1630,1621,18,63
1568__1555,1568,1555,18,40
9771__10985,9771,10985,15,27
8003__8261,8003,8261,21,20
1534__1517,1534,1517,18,43
5543__5497,5543,5497,32,14
1626__1613,1626,1613,18,49
6194__6167,6194,6167,33,36
1629__1620,1629,1620,18,44
1595__1587,1595,1587,18,37
1614__1601,1614,1601,18,42
1664__1645,1664,1645,18,36
1690__1681,1690,1681,18,30
1859__1841,1859,1841,18,18
10858__10859,10858,10859,57,42
1670__1649,1670,1649,18,66
1695__1687,1695,1687,18,20
1713__1703,1713,1703,18,36
1727__1716,1727,1716,18,43
9546__9513,9546,9513,15,72
1669__1652,1669,1652,18,55
10008__9968,10008,9968,34,23
1696__1661,1696,1661,18,23
1732__1723,1732,1723,18,34
1675__1656,1675,1656,18,49
1616__1596,1616,1596,18,24
10096__11121,10096,11121,34,27
1708__1709,1708,1709,18,50
10799__10800,10799,10800,123,52
1743__1738,1743,1738,18,31
1758__1746,1758,1746,18,41
1733__1714,1733,1714,18,25
10871__10872,10871,10872,86,66
1700__1688,1700,1688,18,35
1676__1666,1676,1666,18,34
1732__1725,1732,1725,18,34
1721__1710,1721,1710,18,39
1686__1679,1686,1679,18,46
1591__1546,1591,1546,18,75
