case,advies_element_id,coarse_truth,ai_label,ai_coarse,coarse_klopt,fijn_truth,fijn_klopt
2364__2328,PD-12657,substantieel,gedeeltelijk_overgenomen,substantieel,ja,gedeeltelijk_overgenomen,ja
8032__10939,AANB-15062,procedureel,onduidelijk,ambigu,nee,procedureel_doorgezet,nee
1989__1980,AANB-22107,retorisch,uitgesteld_voor_later_besluit,procedureel,nee,erkend_zonder_actie,nee
10799__10800,PD-14127,retorisch,uitgesteld_voor_later_besluit,procedureel,nee,gerelativeerd,nee
8875__8923,PD-10704,afgewezen,afgewezen,afgewezen,ja,afgewezen,ja
3046__3039,AANB-19684,substantieel,erkend_zonder_actie,retorisch,nee,gedeeltelijk_overgenomen,nee
7589__10989,PD-9594,procedureel,uitgesteld_voor_later_besluit,procedureel,ja,uitgesteld_voor_later_besluit,ja
2381__2360,PD-12677,substantieel,gedeeltelijk_overgenomen,substantieel,ja,gedeeltelijk_overgenomen,ja
10792__10793,PD-23282,substantieel,overgenomen,substantieel,ja,overgenomen,ja
8004__8250,AANB-14808,afgewezen,gerelativeerd,retorisch,nee,afgewezen,nee
9546__9513,AANB-12614,retorisch,erkend_zonder_actie,retorisch,ja,erkend_zonder_actie,ja
8990__8998,AANB-24357,substantieel,gerelativeerd,retorisch,nee,gedeeltelijk_overgenomen,nee
10828__10829,AANB-16639,substantieel,overgenomen,substantieel,ja,overgenomen,ja
220__10918,PD-22949,procedureel,uitgesteld_voor_later_besluit,procedureel,ja,uitgesteld_voor_later_besluit,ja
6526__6519,AANB-24210,substantieel,gedeeltelijk_overgenomen,substantieel,ja,overgenomen,nee
1669__1652,AANB-4307,retorisch,gekoppeld_aan_bestaand_beleid,retorisch,ja,gekoppeld_aan_bestaand_beleid,ja
2381__2360,PD-12670,substantieel,overgenomen,substantieel,ja,gedeeltelijk_overgenomen,nee
2921__2848,AANB-19411,procedureel,gedeeltelijk_overgenomen,substantieel,nee,procedureel_doorgezet,nee
10804__10805,PD-2164,niet_behandeld,procedureel_doorgezet,procedureel,nee,niet_herkenbaar_verwerkt,nee
2579__2566,AANB-18901,afgewezen,afgewezen,afgewezen,ja,afgewezen,ja
10850__10851,AANB-16903,niet_behandeld,erkend_zonder_actie,retorisch,nee,niet_herkenbaar_verwerkt,nee
1574__1547,PD-14174,retorisch,erkend_zonder_actie,retorisch,ja,gekoppeld_aan_bestaand_beleid,nee
8013__8281,AANB-25219,substantieel,gedeeltelijk_overgenomen,substantieel,ja,gedeeltelijk_overgenomen,ja
2029__2014,AANB-3439,niet_behandeld,niet_herkenbaar_verwerkt,niet_behandeld,ja,niet_herkenbaar_verwerkt,ja
10264__10961,AANB-7035,substantieel,uitgesteld_voor_later_besluit,procedureel,nee,gedeeltelijk_overgenomen,nee
2349__2336,PD-16529,substantieel,gekoppeld_aan_bestaand_beleid,retorisch,nee,gedeeltelijk_overgenomen,nee
2021__2002,PD-15116,afgewezen,onduidelijk,ambigu,nee,afgewezen,nee
5137__5042,AANB-17186,substantieel,overgenomen,substantieel,ja,overgenomen,ja
10817__10818,AANB-24057,procedureel,procedureel_doorgezet,procedureel,ja,procedureel_doorgezet,ja
8114__10994,PD-6403,substantieel,gerelativeerd,retorisch,nee,gedeeltelijk_overgenomen,nee
1916__1892,PD-14866,procedureel,erkend_zonder_actie,retorisch,nee,procedureel_doorgezet,nee
2578__2552,PD-16674,afgewezen,afgewezen,afgewezen,ja,afgewezen,ja
1866__1853,AANB-2793,retorisch,herformuleerd,substantieel,nee,procedureel_doorgezet,nee
4974__4768,AANB-17097,procedureel,uitgesteld_voor_later_besluit,procedureel,ja,uitgesteld_voor_later_besluit,ja
9644__9610,PD-20579,afgewezen,afgewezen,afgewezen,ja,afgewezen,ja
1942__1895,PD-16375,substantieel,erkend_zonder_actie,retorisch,nee,gedeeltelijk_overgenomen,nee
10096__11121,AANB-6647,niet_behandeld,onduidelijk,ambigu,nee,niet_herkenbaar_verwerkt,nee
2292__2275,PD-12576,afgewezen,afgewezen,afgewezen,ja,afgewezen,ja
2691__2663,PD-13069,procedureel,gerelativeerd,retorisch,nee,uitgesteld_voor_later_besluit,nee
1591__1546,AANB-3927,substantieel,gerelativeerd,retorisch,nee,gedeeltelijk_overgenomen,nee
18__10917,PD-2677,substantieel,gedeeltelijk_overgenomen,substantieel,ja,gedeeltelijk_overgenomen,ja
8798__8863,AANB-11746,procedureel,procedureel_doorgezet,procedureel,ja,procedureel_doorgezet,ja
8770__8831,PD-7754,retorisch,niet_herkenbaar_verwerkt,niet_behandeld,nee,gekoppeld_aan_bestaand_beleid,nee
1858__1838,PD-1606,substantieel,procedureel_doorgezet,procedureel,nee,gedeeltelijk_overgenomen,nee
7846__7939,AANB-14604,substantieel,uitgesteld_voor_later_besluit,procedureel,nee,gedeeltelijk_overgenomen,nee
8114__8746,PD-6408,substantieel,herformuleerd,substantieel,ja,gedeeltelijk_overgenomen,nee
9979__10981,AANB-6457,retorisch,onduidelijk,ambigu,nee,erkend_zonder_actie,nee
9237__9208,AANB-12252,substantieel,overgenomen,substantieel,ja,overgenomen,ja
10809__10929,AANB-27211,substantieel,gekoppeld_aan_bestaand_beleid,retorisch,nee,overgenomen,nee
10850__10851,PD-11597,substantieel,erkend_zonder_actie,retorisch,nee,gedeeltelijk_overgenomen,nee
8003__8261,PD-23023,niet_behandeld,onduidelijk,ambigu,nee,niet_herkenbaar_verwerkt,nee
2613__2592,AANB-19047,substantieel,erkend_zonder_actie,retorisch,nee,gedeeltelijk_overgenomen,nee
5892__11113,PD-11989,niet_behandeld,niet_herkenbaar_verwerkt,niet_behandeld,ja,niet_herkenbaar_verwerkt,ja
10797__10925,PD-2114,substantieel,herformuleerd,substantieel,ja,gedeeltelijk_overgenomen,nee
7306__11021,PD-9509,substantieel,herformuleerd,substantieel,ja,overgenomen,nee
1914__1901,PD-1725,retorisch,gekoppeld_aan_bestaand_beleid,retorisch,ja,gekoppeld_aan_bestaand_beleid,ja
10822__10823,AANB-16535,substantieel,overgenomen,substantieel,ja,overgenomen,ja
8139__8939,PD-6728,substantieel,gerelativeerd,retorisch,nee,gedeeltelijk_overgenomen,nee
6640__10952,AANB-12860,substantieel,onduidelijk,ambigu,nee,gedeeltelijk_overgenomen,nee
6267__6215,PD-12088,procedureel,herformuleerd,substantieel,nee,procedureel_doorgezet,nee
6240__6153,AANB-17591,procedureel,herformuleerd,substantieel,nee,procedureel_doorgezet,nee
10083__10035,AANB-6664,retorisch,gekoppeld_aan_bestaand_beleid,retorisch,ja,erkend_zonder_actie,nee
3086__3081,PD-13557,substantieel,onduidelijk,ambigu,nee,overgenomen,nee
2802__2792,PD-13193,retorisch,gerelativeerd,retorisch,ja,erkend_zonder_actie,nee
2555__2538,AANB-23327,substantieel,gedeeltelijk_overgenomen,substantieel,ja,gedeeltelijk_overgenomen,ja
5543__5497,AANB-24144,niet_behandeld,niet_herkenbaar_verwerkt,niet_behandeld,ja,niet_herkenbaar_verwerkt,ja
7589__10989,PD-9599,niet_behandeld,gekoppeld_aan_bestaand_beleid,retorisch,nee,niet_herkenbaar_verwerkt,nee
10809__10929,PD-23069,substantieel,overgenomen,substantieel,ja,gedeeltelijk_overgenomen,nee
8020__8373,AANB-14974,substantieel,herformuleerd,substantieel,ja,gedeeltelijk_overgenomen,nee
2364__2328,AANB-18481,procedureel,gerelativeerd,retorisch,nee,uitgesteld_voor_later_besluit,nee
9345__10972,AANB-12442,afgewezen,niet_herkenbaar_verwerkt,niet_behandeld,nee,afgewezen,nee
1858__1838,AANB-2707,procedureel,procedureel_doorgezet,procedureel,ja,uitgesteld_voor_later_besluit,nee
1521__1510,AANB-3810,procedureel,herformuleerd,substantieel,nee,procedureel_doorgezet,nee
9585__9531,PD-8600,substantieel,gekoppeld_aan_bestaand_beleid,retorisch,nee,gedeeltelijk_overgenomen,nee
1998__1954,AANB-3315,afgewezen,afgewezen,afgewezen,ja,afgewezen,ja
8032__8332,AANB-15076,substantieel,niet_herkenbaar_verwerkt,niet_behandeld,nee,gedeeltelijk_overgenomen,nee
7982__8241,PD-9990,niet_behandeld,niet_herkenbaar_verwerkt,niet_behandeld,ja,niet_herkenbaar_verwerkt,ja
8020__8373,PD-10245,substantieel,onduidelijk,ambigu,nee,gedeeltelijk_overgenomen,nee
9585__9531,PD-8604,substantieel,uitgesteld_voor_later_besluit,procedureel,nee,overgenomen,nee
9553__9480,AANB-12681,retorisch,afgewezen,afgewezen,nee,gerelativeerd,nee
2497__2472,AANB-18701,retorisch,gekoppeld_aan_bestaand_beleid,retorisch,ja,gerelativeerd,nee
248__10926,PD-2789,procedureel,procedureel_doorgezet,procedureel,ja,procedureel_doorgezet,ja
6267__6211,AANB-17732,afgewezen,afgewezen,afgewezen,ja,afgewezen,ja
2790__2759,PD-13173,substantieel,gedeeltelijk_overgenomen,substantieel,ja,gedeeltelijk_overgenomen,ja
10816__10815,PD-13853,substantieel,overgenomen,substantieel,ja,overgenomen,ja
2381__2360,AANB-18505,procedureel,procedureel_doorgezet,procedureel,ja,uitgesteld_voor_later_besluit,nee
10799__10927,PD-14131,procedureel,procedureel_doorgezet,procedureel,ja,procedureel_doorgezet,ja
10871__10872,PD-6210,niet_behandeld,niet_herkenbaar_verwerkt,niet_behandeld,ja,niet_herkenbaar_verwerkt,ja
