college,n,pct_groen,pct_oranje,pct_rood,woorden_median,woorden_mean,actoren_median,actoren_mean
Adviesraad internationale vraagstukken,123,79.7,17.1,3.3,23943.0,23344.38211382114,5.0,6.520325203252033
Raad voor de leefomgeving en infrastructuur,107,53.3,45.8,0.9,20948.0,22714.429906542056,10.0,10.542056074766355
Raad voor het Openbaar Bestuur,96,57.3,37.5,5.2,20437.0,21172.697916666668,8.0,10.0
Gezondheidsraad,87,89.7,9.2,1.1,10264.0,12816.0,5.0,5.9655172413793105
Raad voor de Volksgezondheid en Zorg,82,56.1,42.7,1.2,24759.5,25921.280487804877,10.5,11.158536585365853
College voor de Rechten van de Mens,80,80.0,17.5,2.5,8958.5,13146.2625,4.0,5.975
Adviesraad Migratie,75,56.0,42.7,1.3,25443.0,28997.546666666665,8.0,8.493333333333334
Onderwijsraad,74,36.5,63.5,0.0,19528.5,22185.972972972973,9.0,9.743243243243244
VROM-raad,63,52.4,47.6,0.0,23380.0,27109.68253968254,10.0,9.142857142857142
Adviesraad voor het wetenschaps- en technologiebeleid,58,62.1,37.9,0.0,16179.0,17668.224137931036,7.5,8.017241379310345
Raad voor Maatschappelijke Ontwikkeling,55,65.5,32.7,1.8,24830.0,33927.69090909091,7.0,7.763636363636364
Raad voor het Landelijk Gebied,52,75.0,19.2,5.8,17720.0,18315.05769230769,7.0,8.23076923076923
Raad voor Volksgezondheid en Samenleving,50,52.0,44.0,4.0,20464.0,21283.96,9.0,9.72
Raad voor Cultuur,42,69.0,31.0,0.0,15565.5,18721.190476190477,11.0,14.285714285714286
"Adviesraad voor wetenschap, technologie en innovatie",30,13.3,86.7,0.0,19446.5,20970.433333333334,8.0,9.866666666666667
Raad voor Verkeer en Waterstaat - Kaderwetfase,22,81.8,18.2,0.0,15223.5,15804.5,6.5,6.2727272727272725
Raad voor de financiële verhoudingen,14,78.6,21.4,0.0,16329.5,17752.0,6.0,7.214285714285714
Kiesraad,14,78.6,21.4,0.0,5724.5,9578.857142857143,5.0,6.857142857142857
Nederlandse Sportraad - permanent,13,61.5,38.5,0.0,19872.0,19828.53846153846,8.0,8.846153846153847
commissie auteursrecht - permanent,13,100.0,0.0,0.0,6229.0,9758.307692307691,2.0,2.769230769230769
Adviesraad gevaarlijke stoffen,12,58.3,41.7,0.0,18628.0,17050.25,6.0,7.75
Adviescollege toetsing regeldruk - tijdelijk,12,100.0,0.0,0.0,1970.5,2347.4166666666665,1.0,2.0
Adviescollege Openbaarheid en Informatiehuishouding,10,60.0,40.0,0.0,7992.5,10030.5,8.0,6.8
Staatscommissie voor het internationaal privaatrecht,8,100.0,0.0,0.0,4594.5,6032.0,3.5,2.875
Wetenschappelijke Klimaatraad - tijdelijk,5,60.0,40.0,0.0,26649.0,30268.4,19.0,16.6
staatscommissie tegen discriminatie en racisme,5,40.0,40.0,20.0,15767.0,38845.6,9.0,9.4
Review Board Aanvalsprogramma Informatievoorziening Politie - tijdelijk,4,100.0,0.0,0.0,1010.5,1010.25,1.5,2.75
Adviescollege Veiligheid Groningen - tijdelijk,3,66.7,33.3,0.0,3417.0,6019.0,6.0,7.0
Adviescollege Veiligheid Groningen - permanent,3,0.0,100.0,0.0,13412.0,17182.0,13.0,14.0
Commissie insolventierecht - permanent,3,100.0,0.0,0.0,4418.0,4891.666666666667,2.0,1.3333333333333333
Adviescollege toetsing regeldruk - permanent,3,66.7,33.3,0.0,6833.0,6543.0,1.0,1.0
Orgaan voor de Friese taal,3,66.7,33.3,0.0,9616.0,8863.333333333334,4.0,5.333333333333333
Adviescollege burgerluchtvaartveiligheid,2,50.0,50.0,0.0,10960.0,10960.0,6.0,6.0
Adviescollege Nederlandse Gebarentaal,2,100.0,0.0,0.0,1026.0,1026.0,0.5,0.5
Adviescollege Rechtspositie Politieke Ambtsdragers,2,100.0,0.0,0.0,9878.0,9878.0,6.5,6.5
Commissie van advies inzake de waterstaatswetgeving - tijdelijk I,2,100.0,0.0,0.0,11343.0,11343.0,1.5,1.5
Evaluatie- en adviescommissie Passend onderwijs,2,50.0,50.0,0.0,14515.0,14515.0,9.5,9.5
tijdelijke adviescommissie rechtspositie politieke ambtsdragers - tijdelijk,2,100.0,0.0,0.0,10373.0,10373.0,3.0,3.0
commissie auteursrecht - tijdelijk,2,100.0,0.0,0.0,2858.5,2858.5,1.5,1.5
Bestuurlijke Adviesraad Kinderopvangtoeslag,2,50.0,50.0,0.0,6790.0,6790.0,7.0,7.0
Adviescollege Meten en Berekenen Stikstof,1,100.0,0.0,0.0,20230.0,20230.0,4.0,4.0
Adviescollege dialooggroep slavernijverleden,1,100.0,0.0,0.0,89907.0,89907.0,58.0,58.0
Adviescollege Stikstofproblematiek,1,100.0,0.0,0.0,65632.0,65632.0,27.0,27.0
Adviescollege inzake de werking van artikel 57 van de Grondwet,1,100.0,0.0,0.0,33163.0,33163.0,4.0,4.0
Adviescollege huis- en hobbydierenlijst,1,0.0,100.0,0.0,54256.0,54256.0,7.0,7.0
Commissie Evaluatie Wet herziening gerechtelijke kaart,1,100.0,0.0,0.0,50086.0,50086.0,18.0,18.0
Commissie Evaluatie Vreemdelingenwet 2000,1,0.0,100.0,0.0,74612.0,74612.0,6.0,6.0
Commissie Omgaan met risico’s van geïnduceerde aardbevingen,1,0.0,100.0,0.0,17621.0,17621.0,14.0,14.0
Commissie Parameters,1,0.0,100.0,0.0,35474.0,35474.0,9.0,9.0
Commissie Structuur Nederlandse Banken,1,0.0,100.0,0.0,23029.0,23029.0,7.0,7.0
Commissie Evaluatie puntentoekenning gesubsidieerde rechtsbijstand - II,1,100.0,0.0,0.0,63613.0,63613.0,20.0,20.0
Commissie Evaluatie Awb III,1,0.0,100.0,0.0,30418.0,30418.0,10.0,10.0
Commissie Evaluatie Politiewet 2012,1,100.0,0.0,0.0,32773.0,32773.0,17.0,17.0
Adviescollege toekomstbestendig stelsel bewaken en beveiligen,1,100.0,0.0,0.0,39519.0,39519.0,11.0,11.0
Adviescommissie Drugsbeleid,1,0.0,100.0,0.0,25361.0,25361.0,11.0,11.0
Adviescollege toelatings- en verantwoordingscriteria landelijke publieke omroep,1,100.0,0.0,0.0,35937.0,35937.0,13.0,13.0
Adviescollege verdeling frequentieruimte commerciële radio,1,100.0,0.0,0.0,28987.0,28987.0,8.0,8.0
Adviescollege ‘hand aan de kraan’-principe Waddenzee,1,0.0,100.0,0.0,31750.0,31750.0,11.0,11.0
Adviescollege onderzoek stelsel schadevergoeding voor slachtoffers van strafbare feiten,1,0.0,0.0,100.0,80235.0,80235.0,9.0,9.0
Adviescommissie geborgde zetels bij waterschapsbesturen,1,100.0,0.0,0.0,6910.0,6910.0,8.0,8.0
Adviescommissie experiment gesloten coffeeshopketen,1,0.0,100.0,0.0,28663.0,28663.0,16.0,16.0
Adviescommissie beloning en rechtspositie ambtelijke en politieke topstructuur,1,0.0,100.0,0.0,19252.0,19252.0,18.0,18.0
Adviescommissie bekostiging hoger onderwijs en onderzoek,1,0.0,100.0,0.0,13293.0,13293.0,20.0,20.0
Adviescommissie Wet op de jeugdzorg,1,100.0,0.0,0.0,7987.0,7987.0,3.0,3.0
Adviescommissie Versterken weerbaarheid democratische rechtsorde,1,0.0,100.0,0.0,59344.0,59344.0,30.0,30.0
Adviescommissie Onverplichte tegemoetkoming ouderen van Surinaamse herkomst,1,0.0,100.0,0.0,14667.0,14667.0,13.0,13.0
Adviescommissie inrichting verkiezingsproces,1,0.0,100.0,0.0,33228.0,33228.0,18.0,18.0
Adviescommissie ‘Veiligheid en persoonlijke levenssfeer’,1,100.0,0.0,0.0,34605.0,34605.0,9.0,9.0
Adviescommissie voor burgerlijk procesrecht,1,100.0,0.0,0.0,13789.0,13789.0,0.0,0.0
Adviescommissie rechtsbescherming en rechtsstatelijkheid in het Toekomstscenario Kind- en Gezinsbescherming,1,0.0,100.0,0.0,53454.0,53454.0,12.0,12.0
Adviescommissie onderzoek arbeidsvoorwaarden en FLNA LVNL,1,100.0,0.0,0.0,13964.0,13964.0,7.0,7.0
Adviescommissie kansspelen via internet,1,100.0,0.0,0.0,15840.0,15840.0,3.0,3.0
Adviescommissie model-verdeelsysteem kansspelopbrengsten,1,100.0,0.0,0.0,12043.0,12043.0,7.0,7.0
Commissie Diergezondheid en Riooloverstorten,1,0.0,100.0,0.0,20118.0,20118.0,10.0,10.0
Adviescommissie Antilliaans Medeburgerschap in Nederland,1,100.0,0.0,0.0,33687.0,33687.0,5.0,5.0
Commissie toekomst accountancysector,1,100.0,0.0,0.0,68802.0,68802.0,16.0,16.0
Commissie regulering van werk,1,100.0,0.0,0.0,58301.0,58301.0,12.0,12.0
Commissie rechtseenheid bestuursrecht,1,100.0,0.0,0.0,27641.0,27641.0,10.0,10.0
Commissie onderzoek oorzaken kostenstijgingen stelsel gesubsidieerde rechtsbijstand en vernieuwing van het stelsel,1,100.0,0.0,0.0,89173.0,89173.0,21.0,21.0
Commissie onderzoek kaderstelling en toezicht woningcorporaties,1,100.0,0.0,0.0,25722.0,25722.0,10.0,10.0
Commissie onderzoek faillissementen ziekenhuizen,1,100.0,0.0,0.0,76286.0,76286.0,15.0,15.0
Commissie onderzoek elektronisch stemmen in het stemlokaal,1,0.0,100.0,0.0,24633.0,24633.0,16.0,16.0
Commissie onderwijsbevoegdheden,1,100.0,0.0,0.0,23043.0,23043.0,13.0,13.0
Commissie medisch-wetenschappelijk onderzoek met minderjarigen,1,0.0,100.0,0.0,27429.0,27429.0,13.0,13.0
Commissie lesbisch ouderschap en interlandelijke adoptie,1,100.0,0.0,0.0,35537.0,35537.0,5.0,5.0
Commissie knelgevallen fosfaatrechten,1,100.0,0.0,0.0,9828.0,9828.0,5.0,5.0
Commissie kinderopvang en vaccinatie,1,100.0,0.0,0.0,54940.0,54940.0,9.0,9.0
Commissie insolventierecht - tijdelijk I,1,100.0,0.0,0.0,1751.0,1751.0,4.0,4.0
Commissie herziening wetgeving ambtsdelicten Kamerleden en bewindspersonen,1,100.0,0.0,0.0,78604.0,78604.0,9.0,9.0
Commissie herijking tarieven ambtshandelingen gerechtsdeurwaarders - III,1,0.0,100.0,0.0,20984.0,20984.0,14.0,14.0
Commissie herijking tarieven ambtshandelingen gerechtsdeurwaarders - II,1,0.0,100.0,0.0,20984.0,20984.0,13.0,13.0
Commissie Toekomst Overheidscommunicatie,1,0.0,100.0,0.0,28667.0,28667.0,15.0,15.0
Commissie herijking tarieven ambtshandelingen gerechtsdeurwaarders - I,1,100.0,0.0,0.0,20984.0,20984.0,10.0,10.0
Commissie feitenonderzoek,1,0.0,100.0,0.0,184265.0,184265.0,64.0,64.0
Commissie evaluatie puntentoekenning gesubsidieerde rechtsbijstand - I,1,100.0,0.0,0.0,77195.0,77195.0,19.0,19.0
Commissie evaluatie Wet veiligheidsregio’s,1,100.0,0.0,0.0,68982.0,68982.0,14.0,14.0
Commissie doorstroomvennootschappen,1,100.0,0.0,0.0,44791.0,44791.0,8.0,8.0
Commissie advocatuur,1,100.0,0.0,0.0,24236.0,24236.0,10.0,10.0
Commissie Uitdragen kernwaarden van de rechtsstaat,1,100.0,0.0,0.0,31565.0,31565.0,8.0,8.0
Gecombineerde Commissie Vennootschapsrecht,1,100.0,0.0,0.0,4567.0,4567.0,4.0,4.0
Evaluatiecommissie Wet veiligheidsregio’s en het stelsel van rampenbestrijding en crisisbeheersing,1,0.0,0.0,100.0,21901.0,21901.0,28.0,28.0
Evaluatiecommissie Wet op de inlichtingen- en veiligheidsdiensten 2017,1,0.0,100.0,0.0,74225.0,74225.0,22.0,22.0
Evaluatiecommissie Wet op de inlichtingen- en veiligheidsdiensten 2002,1,0.0,100.0,0.0,74456.0,74456.0,15.0,15.0
Commissie van wijzen inzake hulp bij zelfdoding aan mensen die hun leven voltooid achten,1,0.0,100.0,0.0,86723.0,86723.0,9.0,9.0
Commissie vergemakkelijking schadeafhandeling beroepsziekten,1,0.0,100.0,0.0,26298.0,26298.0,19.0,19.0
Commissie van advies inzake de waterstaatswetgeving - tijdelijk III,1,100.0,0.0,0.0,9402.0,9402.0,7.0,7.0
Commissie van advies inzake de waterstaatswetgeving - tijdelijk II,1,100.0,0.0,0.0,5599.0,5599.0,9.0,9.0
Raad voor de Wadden,1,100.0,0.0,0.0,2141.0,2141.0,3.0,3.0
Platform Onderwijs 2032,1,100.0,0.0,0.0,16130.0,16130.0,13.0,13.0
Raad van deskundigen voor de nationale meetstandaarden,1,0.0,100.0,0.0,18687.0,18687.0,18.0,18.0
Onderzoekscommissie Langdurig verblijvende vreemdelingen zonder bestendig verblijfsrecht,1,0.0,100.0,0.0,81793.0,81793.0,22.0,22.0
Nederlandse Sportraad - tijdelijk,1,100.0,0.0,0.0,2547.0,2547.0,4.0,4.0
Nationale conventie,1,0.0,100.0,0.0,17871.0,17871.0,3.0,3.0
Onafhankelijke Commissie Toekomst Arbeidsongeschiktheidsstelsel,1,100.0,0.0,0.0,41176.0,41176.0,8.0,8.0
Commissie van advies inzake volkenrechtelijke vraagstukken,1,100.0,0.0,0.0,21695.0,21695.0,0.0,0.0
Curriculumcommissie,1,100.0,0.0,0.0,11435.0,11435.0,9.0,9.0
Commissie verzekeraars,1,0.0,100.0,0.0,32753.0,32753.0,17.0,17.0
Evaluatiecommissie Stad en Milieu,1,100.0,0.0,0.0,19135.0,19135.0,4.0,4.0
Evaluatie- en adviescommissie Wet financiering politieke partijen,1,0.0,100.0,0.0,37981.0,37981.0,12.0,12.0
Staatscommissie Grondwet,1,100.0,0.0,0.0,53325.0,53325.0,7.0,7.0
Staatscommissie MDMA,1,100.0,0.0,0.0,80792.0,80792.0,23.0,23.0
Staatscommissie Dualisme en lokale democratie,1,0.0,100.0,0.0,229135.0,229135.0,21.0,21.0
Review Board Aanvalsprogramma Informatievoorziening Politie - eenmalig,1,100.0,0.0,0.0,3653.0,3653.0,4.0,4.0
Taskforce (her)ontwikkeling bedrijventerreinen,1,0.0,100.0,0.0,25507.0,25507.0,11.0,11.0
Stuurgroep Evaluatie Politieorganisatie,1,0.0,100.0,0.0,63694.0,63694.0,20.0,20.0
Staatscommissie parlementair stelsel,1,100.0,0.0,0.0,117441.0,117441.0,33.0,33.0
Staatscommissie herijking ouderschap,1,100.0,0.0,0.0,202709.0,202709.0,12.0,12.0
Staatscommissie Rechtsstaat,1,0.0,100.0,0.0,100206.0,100206.0,28.0,28.0
Staatscommissie demografische ontwikkelingen 2050,1,100.0,0.0,0.0,121094.0,121094.0,27.0,27.0
Tijdelijke adviescommissie vermogenspositie universiteiten,1,0.0,100.0,0.0,32699.0,32699.0,13.0,13.0
Taskforce Samenwerking Onderwijs en Kinderopvang,1,100.0,0.0,0.0,18177.0,18177.0,15.0,15.0
adviescommissie Toekomst zorg thuiswonende ouderen,1,100.0,0.0,0.0,24390.0,24390.0,14.0,14.0
Taskforce infrastructuur klimaatakkoord industrie,1,0.0,100.0,0.0,10303.0,10303.0,7.0,7.0
Tijdelijk adviescollege Herkomst Kunstvoorwerpen WO-II,1,100.0,0.0,0.0,2896.0,2896.0,3.0,3.0
commissie duurzame kustontwikkeling,1,0.0,100.0,0.0,43677.0,43677.0,16.0,16.0
klankbordgroep ‘Verkenningen naar de toekomst van de krijgsmacht’,1,0.0,100.0,0.0,124312.0,124312.0,25.0,25.0
commissie fundamentele herbezinning Wsw,1,0.0,100.0,0.0,44694.0,44694.0,12.0,12.0
taskforce lijkschouw en gerechtelijke sectie,1,100.0,0.0,0.0,56237.0,56237.0,11.0,11.0
tijdelijke adviescommissie beloning en rechtspositie politieke ambtsdragers,1,0.0,100.0,0.0,13150.0,13150.0,16.0,16.0
