advies_id,adviescollege_id,aanwezig_in_officiele,best_jaccard,officiele_id
1436,18,False,0.0,
1447,18,False,0.0059,blg-1127010
1481,18,False,0.0107,blg-1178676
1493,18,False,0.0226,blg-963845
1499,18,False,0.0217,blg-973397
1507,18,False,0.0214,blg-973397
1511,18,False,0.0228,blg-973397
1521,18,False,0.0248,blg-963845
1524,18,False,0.023,blg-973397
1534,18,False,0.0128,blg-938475
1550,18,False,0.0278,blg-963845
1560,18,True,0.9463,blg-938475
1561,18,False,0.0277,blg-973397
1564,18,True,0.9789,blg-973397
1568,18,False,0.0292,blg-942160
1571,18,True,0.8411,blg-942160
1574,18,True,0.9678,blg-963845
1591,18,True,0.9437,blg-963879
1592,18,False,0.0719,blg-963879
1595,18,False,0.0221,blg-963879
1611,18,False,0.0069,kst-31700-V-67-b1
1612,18,False,0.0153,blg-854613
1614,18,True,0.9533,blg-854613
1616,18,True,0.9485,blg-878919
1619,18,False,0.0063,kst-31700-V-67-b1
1622,18,False,0.0163,blg-878919
1626,18,False,0.0166,blg-610548
1627,18,False,0.0059,kst-31700-V-67-b1
1629,18,False,0.0166,blg-320740
1630,18,False,0.0612,blg-785195
1631,18,False,0.0075,blg-896677
1634,18,False,0.0291,blg-854613
1639,18,False,0.0063,kst-31700-V-67-b1
1642,18,False,0.0078,blg-536990
1660,18,False,0.0079,kst-31700-V-67-b1
1664,18,False,0.026,blg-610548
1667,18,False,0.0066,kst-31700-V-67-b1
1669,18,True,0.9524,blg-783292
1670,18,False,0.0226,blg-528250
1673,18,False,0.0198,blg-783292
1674,18,False,0.009,kst-31700-V-67-b1
1675,18,True,0.9619,blg-610538
1676,18,True,0.9786,blg-652154
1677,18,True,0.9649,blg-610548
1682,18,False,0.0216,blg-610548
1684,18,False,0.0075,kst-31700-V-67-b1
1686,18,False,0.0387,blg-610548
1689,18,False,0.0064,kst-31700-V-67-b1
1690,18,False,0.0317,blg-320740
1691,18,False,0.0058,kst-31700-V-67-b1
1695,18,True,0.8564,blg-420843
1696,18,True,0.9595,blg-453924
1697,18,False,0.0136,blg-453924
1698,18,False,0.0187,blg-420843
1700,18,True,0.9241,blg-390644
1704,18,False,0.0137,blg-390644
1706,18,True,0.9481,blg-528250
1707,18,False,0.0223,blg-528250
1708,18,True,0.9795,blg-321252
1712,18,False,0.0089,kst-31700-V-67-b1
1713,18,True,0.9626,blg-320740
1717,18,False,0.0169,blg-86660
1721,18,True,0.9506,blg-288206
1726,18,False,0.0247,blg-288206
1727,18,False,0.028,blg-226039
1728,18,True,0.9635,blg-239848
1729,18,False,0.0082,kst-31700-V-67-b1
1730,18,False,0.0244,blg-239848
1731,18,False,0.0193,blg-220544
1732,18,True,0.9638,blg-220544
1733,18,True,0.9284,blg-226039
1734,18,True,0.9659,blg-196896
1736,18,False,0.0368,blg-226039
1737,18,False,0.0089,kst-31700-V-67-b1
1742,18,True,0.9259,blg-190260
1743,18,False,0.0305,blg-190260
1745,18,False,0.0104,kst-31700-V-67-b1
1750,18,False,0.0107,kst-31700-V-67-b1
1753,18,False,0.0408,blg-169013
1757,18,True,0.8872,blg-152609
1758,18,True,0.8666,blg-154748
1767,18,True,0.5476,blg-119200
1768,18,False,0.0111,kst-31700-V-67-b1
1773,18,False,0.0361,blg-129317
1777,18,False,0.0174,blg-420851
1778,18,True,0.8952,blg-129317
1780,18,False,0.0121,kst-31700-V-67-b1
1782,18,True,0.8646,blg-116380
1783,18,True,0.91,blg-96070
1784,18,True,0.764,blg-71280
1785,18,False,0.0177,blg-96070
1789,18,False,0.0251,blg-71280
1790,18,False,0.0126,kst-31700-V-67-b1
1792,18,False,0.0353,blg-57288
1797,18,True,0.9082,blg-54597
1798,18,False,0.0143,kst-31700-V-67-b1
1800,18,True,0.8906,blg-57288
1802,18,False,0.0329,blg-21339
1803,18,False,0.017,kst-31700-V-67-b1
1808,18,True,0.8923,blg-29501
1811,18,True,0.8661,blg-12834
1815,18,False,0.0358,blg-29501
1816,18,False,0.0318,blg-21339
1819,18,True,0.7709,kst-31700-V-74-b1
1821,18,False,0.0142,kst-31700-V-67-b1
1825,18,True,0.8901,kst-31700-V-67-b1
1827,18,False,0.0174,kst-31700-V-67-b1
1828,18,True,0.8727,blg-21339
1831,18,False,0.0102,kst-31250-20-b2
1832,18,True,0.8534,kst-31200-V-G-b2
1833,18,False,0.0181,kst-31700-V-67-b1
1836,18,False,0.0151,kst-21501-04-101-b1
1840,18,False,0.0334,kst-31200-V-G-b2
1842,18,False,0.0161,kst-31700-V-67-b1
1845,18,False,0.0202,kst-31200-X-86-b1
1846,18,False,0.0105,kst-31700-V-67-b1
1847,18,False,0.0116,kst-31700-V-67-b1
1848,18,True,0.5158,kst-30363-4-b1
1850,18,True,0.8295,kst-30800-V-116-b1
1851,18,False,0.0163,nds-vws0400936-b1
1852,18,True,0.8696,kst-21501-04-101-b1
1857,18,False,0.0081,kst-31700-V-67-b1
1858,18,False,0.0186,kst-30800-V-80-b1
1859,18,False,0.0334,kst-30800-V-49-b1
1860,18,False,0.0326,kst-30800-V-51-b1
1865,18,False,0.0467,kst-30300-V-106-b1
1866,18,True,0.8372,kst-30800-V-49-b1
1868,18,False,0.0095,kst-31700-V-67-b1
1869,18,True,0.8631,kst-29754-85-b1
1870,18,False,0.0104,kst-31700-V-67-b1
1871,18,False,0.0149,kst-30800-V-92-b1
1875,18,True,0.9597,kst-30800-V-51-b1
1880,18,True,0.8662,kst-30300-V-106-b1
1884,18,False,0.0333,kst-30300-V-106-b1
1888,18,False,0.0229,kst-30300-V-106-b1
1889,18,False,0.032,kst-30800-V-51-b1
1890,18,True,0.8574,nds-buza050267-b2
1891,18,False,0.0239,kst-30300-V-4-b1
1893,18,True,0.7813,kst-30300-V-4-b1
1896,18,True,0.7403,nds-buza050288-b1
1899,18,True,0.8062,nds-buza050270-b1
1903,18,False,0.0341,nds-buza050267-b2
1904,18,False,0.0337,nds-buza050218-b1
1905,18,False,0.0097,kst-31700-V-67-b1
1908,18,False,0.0155,nds-buza050270-b1
1909,18,True,0.874,nds-buza050218-b1
1910,18,False,0.0191,nds-buza050124-b1
1911,18,True,0.8996,nds-buza050124-b1
6417,30,True,0.9861,blg-1166515
6433,30,False,0.0317,blg-1038572
6438,30,False,0.0042,kst-27923-21-b1
6467,30,False,0.0126,blg-1100794
6472,30,False,0.0046,blg-1091113
6483,30,True,0.8935,blg-1077814
6516,30,False,0.0104,blg-1100332
6518,30,False,0.0126,blg-811679
6523,30,True,0.9482,blg-980909
6526,30,True,0.831,blg-942660
6533,30,False,0.0097,blg-901455
6559,30,False,0.0052,blg-54163
6601,30,True,0.7633,blg-861153
6616,30,False,0.0441,blg-861153
6630,30,True,0.7861,blg-864218
6640,30,True,0.8316,blg-848475
6645,30,False,0.0295,blg-814096
6647,30,True,0.8179,blg-814096
6650,30,False,0.0358,blg-814096
6660,30,False,0.0349,nds-ocw0400835-b1
6663,30,True,0.807,blg-785688
6670,30,False,0.0383,blg-861153
6672,30,False,0.0,
6683,30,False,0.0427,blg-121608
6686,30,True,0.8337,blg-775548
6693,30,True,0.8027,blg-618399
6697,30,True,0.8044,blg-590561
6700,30,True,0.784,blg-533436
6718,30,True,0.8113,blg-419895
6723,30,True,0.7819,blg-406157
6726,30,True,0.7661,blg-338516
6727,30,False,0.0096,blg-811557
6731,30,True,0.7703,blg-439175
6733,30,True,0.7647,blg-456364
6750,30,True,0.639,blg-317416
6753,30,True,0.8232,blg-271928
6771,30,True,0.8445,blg-262739
6776,30,False,0.038,blg-262739
6778,30,True,0.6048,blg-249677
6783,30,True,0.8386,blg-210041
6804,30,False,0.0399,blg-184151
6809,30,True,0.8366,blg-184151
6816,30,True,0.8237,blg-181579
6825,30,False,0.0429,blg-102408
6826,30,False,0.039,blg-102408
6828,30,True,0.7762,blg-162991
6831,30,True,0.8244,blg-131794
6836,30,False,0.0413,blg-131794
6842,30,True,0.8166,blg-132430
6847,30,False,0.0385,blg-102408
6853,30,False,0.014,blg-62248
6854,30,True,0.8166,blg-121608
6855,30,False,0.3539,blg-111126
6857,30,False,0.0406,blg-132430
6867,30,True,0.8397,blg-113695
6879,30,True,0.8307,blg-111816
6880,30,True,0.7863,blg-102408
6892,30,False,0.0402,nds-ocw0400835-b1
6893,30,False,0.0414,kst-31700-VIII-142-b1
6894,30,False,0.0093,blg-253561
6902,30,True,0.4809,blg-88949
6907,30,False,0.019,blg-163144
6908,30,False,0.3665,blg-163144
6915,30,True,0.7979,blg-83899
6924,30,True,0.7822,blg-66963
6925,30,True,0.7806,blg-69061
6928,30,True,0.8193,blg-61266
6930,30,True,0.8223,blg-54203
6937,30,True,0.8231,blg-54163
7121,31,False,0.0,
7147,31,False,0.0096,blg-1214274
7151,31,False,0.0094,blg-998955
7152,31,True,0.9655,blg-1177141
7157,31,True,0.9959,blg-1022396
7168,31,True,0.9482,blg-1058019
7170,31,True,0.9927,blg-1018680
7172,31,False,0.0172,blg-1129766
7183,31,False,0.019,blg-998955
7199,31,True,0.9877,blg-992140
7205,31,False,0.0561,blg-961130
7212,31,True,0.9821,blg-961130
7213,31,False,0.0057,blg-985634
7224,31,True,0.9825,blg-961751
7229,31,False,0.0,
7306,31,True,0.9274,blg-1024849
7321,31,False,0.0241,blg-946308
7326,31,True,0.989,blg-951114
7573,31,True,0.9306,blg-914870
7577,31,True,0.932,blg-923904
7579,31,False,0.0042,blg-868863
7585,31,False,0.0053,blg-835882
7587,31,False,0.0048,blg-848386
7588,31,False,0.0078,blg-848386
7589,31,False,0.0177,blg-846832
7591,31,False,0.0039,blg-820154
7619,31,False,0.0146,blg-848386
7691,31,False,0.007,blg-848386
7693,31,False,0.037,blg-776887
7694,31,True,0.7272,blg-350791
7696,31,True,0.9705,blg-848386
7697,31,False,0.0115,blg-239859
7715,31,False,0.0109,blg-796271
7721,31,False,0.0079,blg-848386
7724,31,False,0.0301,kst-31777-1-b1
7783,31,True,0.5401,blg-181579
7820,31,False,0.0048,blg-130188
7834,31,True,0.6296,blg-310385
7835,31,False,0.007,blg-67345
7842,31,False,0.0087,blg-91268
7848,21,True,0.8931,blg-1189785
7849,21,True,0.9199,blg-1152068
7864,21,False,0.0275,blg-1189785
7866,21,False,0.0295,blg-1152068
7978,21,True,0.9807,blg-969912
7980,21,False,0.0282,blg-1189785
7981,21,False,0.03,blg-916187
7982,21,False,0.0246,blg-1081420
7983,21,False,0.026,blg-1081420
7986,21,False,0.026,blg-880828
7987,21,True,0.8354,blg-937353
7988,21,True,0.9122,blg-940951
7989,21,False,0.0374,blg-1158592
7990,21,False,0.0264,blg-1189785
7995,21,False,0.0271,blg-1081420
7998,21,False,0.0083,blg-675966
8000,21,False,0.0235,blg-1197457
8001,21,True,0.9202,blg-916187
8003,21,False,0.0231,blg-1197457
8004,21,False,0.03,blg-969684
8005,21,True,0.8327,blg-880828
8006,21,False,0.01,blg-857652
8007,21,False,0.0038,blg-766395
8009,21,False,0.007,blg-1118729
8010,21,True,0.8834,blg-1081420
8012,21,False,0.0279,blg-950965
8013,21,True,0.8877,blg-969684
8015,21,False,0.026,blg-809781
8016,21,False,0.0539,blg-1037265
8017,21,True,0.8712,blg-950965
8018,21,True,0.794,blg-766395
8019,21,False,0.0075,blg-627299
8020,21,False,0.0216,blg-663869
8021,21,False,0.0285,blg-950965
8023,21,False,0.0174,blg-663869
8024,21,True,0.9751,blg-531646
8025,21,False,0.0262,blg-663869
8026,21,True,0.9812,blg-627299
8028,21,False,0.0345,blg-159487
8029,21,False,0.0279,blg-663869
8030,21,False,0.0256,blg-809781
8031,21,False,0.0104,blg-159487
8032,21,False,0.0266,blg-950965
8036,21,False,0.0194,blg-776478
8037,21,True,0.844,blg-809781
8039,21,False,0.0057,blg-159487
8041,21,True,0.6649,blg-663869
8048,21,True,0.4671,blg-159487
8049,21,False,0.0152,blg-663869
8051,21,False,0.0292,blg-776478
8054,21,False,0.0059,kst-29684-56-b1
8059,21,False,0.0174,blg-776478
8060,21,False,0.0168,blg-776478
8061,21,False,0.0311,blg-173787
8062,21,False,0.0181,blg-776478
8063,21,False,0.0282,blg-390578
8066,21,False,0.0068,blg-531646
8068,21,False,0.0147,blg-776478
8071,21,True,0.8502,blg-173787
8073,21,False,0.0089,blg-73072
8075,21,False,0.0165,blg-36665
8076,21,False,0.0279,blg-173787
8078,21,False,0.0272,blg-173787
8079,21,False,0.0152,blg-663869
8082,21,False,0.0308,blg-36665
8083,21,True,0.9557,blg-42516
8088,21,False,0.0303,blg-36665
8091,21,False,0.008,kst-30594-3-b1
8096,21,False,0.0146,blg-42516
8111,21,False,0.0065,kst-29684-66-b1
8128,21,False,0.0228,kst-30300-V-106-b1
8141,21,False,0.006,kst-26431-64-b1
8198,21,False,0.0291,blg-36665
8201,21,False,0.0237,blg-131816
8229,21,False,0.0203,blg-42516
8249,21,False,0.0125,kst-29665-85-b2
8396,21,False,0.0304,blg-776478
8435,21,False,0.008,blg-47419
8440,21,False,0.0043,blg-345337
8626,21,False,0.0351,blg-54006
8633,21,True,0.7195,kst-29684-69-b3
8639,21,False,0.007,blg-173787
8644,21,False,0.0074,kst-29684-66-b1
8691,21,False,0.0358,blg-10001
8719,21,False,0.0135,kst-26431-65-b3
8754,21,False,0.0268,kst-30594-3-b1
8786,21,False,0.0359,kst-29684-38-b1
8803,21,False,0.0137,blg-42516
9080,15,False,0.0577,blg-1204154
9085,15,True,0.707,blg-1143918
9108,15,False,0.0434,blg-1143918
9127,15,False,0.0374,blg-1158592
9132,15,False,0.0561,blg-1020949
9142,15,True,0.9618,blg-1020949
9146,15,False,0.058,blg-990794
9149,15,False,0.0716,blg-990794
9158,15,False,0.0598,blg-990794
9159,15,False,0.0592,blg-990794
9171,15,True,0.9103,blg-990794
9178,15,True,0.7563,blg-976999
9179,15,False,0.0592,blg-976999
9184,15,True,0.9274,blg-1024849
9198,15,False,0.0559,blg-943303
9207,15,False,0.0592,blg-943303
9219,15,True,0.7686,blg-943303
9225,15,False,0.056,blg-943303
9237,15,False,0.0123,blg-831925
9246,15,False,0.011,blg-301030
9261,15,False,0.0108,blg-942222
9302,15,False,0.0612,blg-800975
9310,15,True,0.9824,blg-800975
9329,15,False,0.055,blg-430648
9336,15,False,0.0567,blg-746152
9339,15,False,0.1562,blg-796270
9345,15,True,0.9839,blg-746152
9350,15,True,0.7783,blg-779182
9373,15,True,0.9784,blg-430648
9379,15,False,0.0574,blg-430648
9399,15,False,0.056,blg-126013
9422,15,True,0.9485,blg-381718
9456,15,False,0.0534,blg-381718
9466,15,False,0.0452,blg-126013
9470,15,False,0.0042,blg-381718
9485,15,False,0.0604,blg-126013
9496,15,True,0.7964,blg-126013
9518,15,False,0.0527,blg-126013
9521,15,False,0.0575,blg-126013
9546,15,False,0.0097,kst-30800-B-17-b1
9552,15,True,0.6347,blg-36381
9553,15,True,0.9073,blg-127135
9569,15,True,0.826,blg-36380
9579,15,False,0.0059,nds-vws0401022-b1
9585,15,False,0.04,kst-31200-VII-9-b1
9588,15,False,0.0172,blg-25833
9622,15,False,0.0212,blg-127135
9639,15,False,0.0107,blg-21693
9642,15,False,0.0062,blg-21693
9643,15,False,0.0093,kst-28479-23-b1
9644,15,False,0.0069,blg-126013
9650,15,True,0.9679,blg-21693
9656,15,False,0.0141,blg-36665
9658,15,False,0.0166,nds-bzk0400458-b1
9662,15,False,0.0127,blg-21693
9663,15,False,0.0295,blg-127135
11091,21,False,0.0128,kst-29665-85-b2
11095,15,False,0.056,blg-126013
